date	close
25-Oct-07	182.78
26-Oct-07	184.70
29-Oct-07	185.09
30-Oct-07	187.00
31-Oct-07	189.95
1-Nov-07	187.44
2-Nov-07	187.87
5-Nov-07	186.18
6-Nov-07	191.79
7-Nov-07	186.30
8-Nov-07	175.47
9-Nov-07	165.37
12-Nov-07	153.76
13-Nov-07	169.96
14-Nov-07	166.11
15-Nov-07	164.30
16-Nov-07	166.39
19-Nov-07	163.95
20-Nov-07	168.85
21-Nov-07	168.46
23-Nov-07	171.54
26-Nov-07	172.54
27-Nov-07	174.81
28-Nov-07	180.22
29-Nov-07	184.29
30-Nov-07	182.22
3-Dec-07	178.86
4-Dec-07	179.81
5-Dec-07	185.50
6-Dec-07	189.95
7-Dec-07	194.30
10-Dec-07	194.21
11-Dec-07	188.54
12-Dec-07	190.86
13-Dec-07	191.83
14-Dec-07	190.39
17-Dec-07	184.40
18-Dec-07	182.98
19-Dec-07	183.12
20-Dec-07	187.21
21-Dec-07	193.91
24-Dec-07	198.80
26-Dec-07	198.95
27-Dec-07	198.57
28-Dec-07	199.83
31-Dec-07	198.08
2-Jan-08	194.84
3-Jan-08	194.93
4-Jan-08	180.05
7-Jan-08	177.64
8-Jan-08	171.25
9-Jan-08	179.40
10-Jan-08	178.02
11-Jan-08	172.69
14-Jan-08	178.78
15-Jan-08	169.04
16-Jan-08	159.64
17-Jan-08	160.89
18-Jan-08	161.36
22-Jan-08	155.64
23-Jan-08	139.07
24-Jan-08	135.60
25-Jan-08	130.01
28-Jan-08	130.01
29-Jan-08	131.54
30-Jan-08	132.18
31-Jan-08	135.36
1-Feb-08	133.75
4-Feb-08	131.65
5-Feb-08	129.36
6-Feb-08	122.00
7-Feb-08	121.24
8-Feb-08	125.48
11-Feb-08	129.45
12-Feb-08	124.86
13-Feb-08	129.40
14-Feb-08	127.46
15-Feb-08	124.63
19-Feb-08	122.18
20-Feb-08	123.82
21-Feb-08	121.54
22-Feb-08	119.46
25-Feb-08	119.74
26-Feb-08	119.15
27-Feb-08	122.96
28-Feb-08	129.91
29-Feb-08	125.02
3-Mar-08	121.73
4-Mar-08	124.62
5-Mar-08	124.49
6-Mar-08	120.93
7-Mar-08	122.25
10-Mar-08	119.69
11-Mar-08	127.35
12-Mar-08	126.03
13-Mar-08	127.94
14-Mar-08	126.61
17-Mar-08	126.73
18-Mar-08	132.82
19-Mar-08	129.67
20-Mar-08	133.27
24-Mar-08	139.53
25-Mar-08	140.98
26-Mar-08	145.06
27-Mar-08	140.25
28-Mar-08	143.01
31-Mar-08	143.50
1-Apr-08	149.53
2-Apr-08	147.49
3-Apr-08	151.61
4-Apr-08	153.08
7-Apr-08	155.89
8-Apr-08	152.84
9-Apr-08	151.44
10-Apr-08	154.55
11-Apr-08	147.14
14-Apr-08	147.78
15-Apr-08	148.38
16-Apr-08	153.70
17-Apr-08	154.49
18-Apr-08	161.04
21-Apr-08	168.16
22-Apr-08	160.20
23-Apr-08	162.89
24-Apr-08	168.94
25-Apr-08	169.73
28-Apr-08	172.24
29-Apr-08	175.05
30-Apr-08	173.95
1-May-08	180.00
2-May-08	180.94
5-May-08	184.73
6-May-08	186.66
7-May-08	182.59
8-May-08	185.06
9-May-08	183.45
12-May-08	188.16
13-May-08	189.96
14-May-08	186.26
15-May-08	189.73
16-May-08	187.62
19-May-08	183.60
20-May-08	185.90
21-May-08	178.19
22-May-08	177.05
23-May-08	181.17
27-May-08	186.43
28-May-08	187.01
29-May-08	186.69
30-May-08	188.75
2-Jun-08	186.10
3-Jun-08	185.37
4-Jun-08	185.19
5-Jun-08	189.43
6-Jun-08	185.64
9-Jun-08	181.61
10-Jun-08	185.64
11-Jun-08	180.81
12-Jun-08	173.26
13-Jun-08	172.37
16-Jun-08	176.84
17-Jun-08	181.43
18-Jun-08	178.75
19-Jun-08	180.90
20-Jun-08	175.27
23-Jun-08	173.16
24-Jun-08	173.25
25-Jun-08	177.39
26-Jun-08	168.26
27-Jun-08	170.09
30-Jun-08	167.44
1-Jul-08	174.68
2-Jul-08	168.18
3-Jul-08	170.12
7-Jul-08	175.16
8-Jul-08	179.55
9-Jul-08	174.25
10-Jul-08	176.63
11-Jul-08	172.58
14-Jul-08	173.88
15-Jul-08	169.64
16-Jul-08	172.81
17-Jul-08	171.81
18-Jul-08	165.15
21-Jul-08	166.29
22-Jul-08	162.02
23-Jul-08	166.26
24-Jul-08	159.03
25-Jul-08	162.12
28-Jul-08	154.40
29-Jul-08	157.08
30-Jul-08	159.88
31-Jul-08	158.95
1-Aug-08	156.66
4-Aug-08	153.23
5-Aug-08	160.64
6-Aug-08	164.19
7-Aug-08	163.57
8-Aug-08	169.55
11-Aug-08	173.56
12-Aug-08	176.73
13-Aug-08	179.30
14-Aug-08	179.32
15-Aug-08	175.74
18-Aug-08	175.39
19-Aug-08	173.53
20-Aug-08	175.84
21-Aug-08	174.29
22-Aug-08	176.79
25-Aug-08	172.55
26-Aug-08	173.64
27-Aug-08	174.67
28-Aug-08	173.74
29-Aug-08	169.53
2-Sep-08	166.19
3-Sep-08	166.96
4-Sep-08	161.22
5-Sep-08	160.18
8-Sep-08	157.92
9-Sep-08	151.68
10-Sep-08	151.61
11-Sep-08	152.65
12-Sep-08	148.94
15-Sep-08	140.36
16-Sep-08	139.88
17-Sep-08	127.83
18-Sep-08	134.09
19-Sep-08	140.91
22-Sep-08	131.05
23-Sep-08	126.84
24-Sep-08	128.71
25-Sep-08	131.93
26-Sep-08	128.24
29-Sep-08	105.26
30-Sep-08	113.66
1-Oct-08	109.12
2-Oct-08	100.10
3-Oct-08	97.07
6-Oct-08	98.14
7-Oct-08	89.16
8-Oct-08	89.79
9-Oct-08	88.74
10-Oct-08	96.80
13-Oct-08	110.26
14-Oct-08	104.08
15-Oct-08	97.95
16-Oct-08	101.89
17-Oct-08	97.40
20-Oct-08	98.44
21-Oct-08	91.49
22-Oct-08	96.87
23-Oct-08	98.23
24-Oct-08	96.38
27-Oct-08	92.09
28-Oct-08	99.91
29-Oct-08	104.55
30-Oct-08	111.04
31-Oct-08	107.59
3-Nov-08	106.96
4-Nov-08	110.99
5-Nov-08	103.30
6-Nov-08	99.10
7-Nov-08	98.24
10-Nov-08	95.88
11-Nov-08	94.77
12-Nov-08	90.12
13-Nov-08	96.44
14-Nov-08	90.24
17-Nov-08	88.14
18-Nov-08	89.91
19-Nov-08	86.29
20-Nov-08	80.49
21-Nov-08	82.58
24-Nov-08	92.95
25-Nov-08	90.80
26-Nov-08	95.00
27-Nov-08	95.00
28-Nov-08	92.67
1-Dec-08	88.93
2-Dec-08	92.47
3-Dec-08	95.90
4-Dec-08	91.41
5-Dec-08	94.00
8-Dec-08	99.72
9-Dec-08	100.06
